Box,Id,Type,Title,Author,Author2,Date,Location,Nb,People,Geo
4,367,Letters,Carta del 17 de noviembre de 1860 de Vicente Pérez Rosales a Mauricio Barbosa,"Pérez Rosales, Vicente",,1860/11/17,Chile;Octava Región;Concepción,1,"Barbosa, Mauricio",
4,368,Letters,Carta del 21 de noviembre de 1860 de Francisco del Río a Mauricio Barbosa,"Río, Francisco Del",,1860/11/21,Chile;Octava Región;Arauco,1,"Barbosa, Mauricio",Arauco
4,369,Letters,Carta del 22 de noviembre de 1860 de Vicente Villalón a Mauricio Barbosa,"Villalón, Vicente",,1860/11/22,Chile;Octava Región;Los Ángeles,1,"Barbosa, Mauricio",
4,370,Letters,Carta del 22 de noviembre de 1860 de Vicente Villalón a Mauricio Barbosa,"Villalón, Vicente",,1860/11/22,Chile;Octava Región;Los Ángeles,1,"Barbosa, Mauricio",
4,371,Letters,Carta del 23 de noviembre de 1860 al Comandante de Armas de Arauco,,,1860/11/23,Chile;Octava Región;Los Ángeles,1,,Arauco
4,372,Letters,Carta del 23 de noviembre de 1860 de Vicente Villalobos al comandante de Armas de Arauco,"Villalobos, Vicente",,1860/11/23,Chile;Octava Región;Los Ángeles,1,,Arauco
4,373,Letters,Carta del 23 de noviembre de 1860 de Vicente Villalobos a Mauricio Barbosa,"Villalobos, Vicente",,1860/11/23,Chile;Octava Región;Los Ángeles,2,"Barbosa, Mauricio",Arauco
4,374,Letters,Carta del 28 de noviembre de 1860 de Juan Avello al Comandante de Armas de Arauco,"Avello, Juan",,1860/11/28,Chile;Octava Región;Santa Juana,1,,Arauco
4,375,Oficio,"Oficio de Eleuterio Ramírez y respuesta al mismo, firmado por Barbosa, Chacón, Urrutia, García Díaz y Contreras.","Ramírez, Eleuterio","Barbosa, Mauricio",1859/11/22,Chile;Octava Región;Arauco,2,,Arauco
4,376,Oficio,"Oficio de Mauricio Barbosa a Eleuterio Ramírez y firmado por Barbosa, Chacón, Urrutia, García Díaz y Contreras.","Barbosa, Mauricio",,1859/11/22,Chile;Octava Región;Arauco,2,"Ramírez, Eleuterio",Arauco
4,377,Oficio,Oficio de Mauricio Barbosa,"Barbosa, Mauricio",,1859/11/19,Chile;Octava Región;Arauco,2,,Arauco
4,378,Oficio,"Oficio del Consejo de Guerra. Compuesto por J. Contreras, D. García, A. Urrutia. J. Wood, B. Chacón.",Consejo De Guerra,,1859/12/28,Chile;Paicaví,2,,Arauco
4,379,Oficio,Oficio de J. Díaz al comandante de Armas de Arauco,"Díaz, José Del Carmen",,1859/12/25,Chile;Octava Región;Arauco,1,,Arauco
4,380,Letters,Carta del 02 de marzo de 1860 de Nicolás Saavedra al jefe de Operaciones de la Baja Frontera,"Saavedra, Nicolás",,1860/03/02,Chile;Octava Región;Lebu,1,"Barbosa, Mauricio",
4,381,Letters,Carta del 02 de marzo de 1860 de J. A. Quezada al jefe de la división pacificadora de Arauco.,"Quezada, José Antonio",,1860/03/02,Chile;Octava Región;Arauco,1,"Barbosa, Mauricio",
4,382,Letters,Carta del 04 de marzo de 1860 de J. A. Quezada al comandante en jefe de la división de Operaciones.,"Quezada, José Antonio",,1860/03/04,Chile;Octava Región;Arauco,1,"Barbosa, Mauricio",
4,383,Letters,Carta del 02 de marzo de 1860 de Vicente Villalobos a Mauricio Barbosa,"Villalobos, Vicente",,1860/03/02,Chile;Octava Región;Los Ángeles,2,"Barbosa, Mauricio",
4,384,Letters,Carta del 04 de marzo de 1860 de J. Del C. Díaz,"Díaz, José Del Carmen",,1860/03/04,Chile;Octava Región;Arauco,2,"Barbosa, Mauricio",
4,385,Letters,Carta del 13 de marzo de 1860 de Vicente Pérez Rosales,"Pérez Rosales, Vicente",,1860/03/13,Chile;Octava Región;Concepción,2,"Barbosa, Mauricio",
4,386,Letters,Carta del 16 de marzo de 1860 de Vicente Villalón a Mauricio Barbosa,"Villalón, Vicente",,1860/03/16,Chile;Octava Región;Ángeles,1,"Barbosa, Mauricio",
4,387,Letters,Carta del 16 de marzo de 1860 de Manuel García a Mauricio Barbosa,"García, Manuel",,1860/03/16,Chile;Región Metropolitana;Santiago,1,"Barbosa, Mauricio",
4,388,Letters,Carta del 22 de marzo de 1860 de Manuel García a Mauricio Barbosa,"García, Manuel",,1860/03/22,Chile;Región Metropolitana;Santiago,1,"Barbosa, Mauricio",
4,389,Notes,"Nota Nº 363 de Manuel García al Coronel Graduado Don Mauricio Barbosa, para el establecimiento de una guarnición en Nagalhue","García, Manuel",,[Siglo XIX],,1,"Barbosa, Mauricio",Nagalhue
4,390,Letters,Carta del 31 de marzo de 1860 de Juan Contreras a Mauricio Barbosa,"Contreras, Juan",,1860/03/31,Chile;Octava Región;Arauco,1,"Barbosa, Mauricio",Arauco
4A,391,Others,"Cuadro General del Ejército del Sur, Estado que manifiesta la fuerza efectiva que tiene este Ejército, con espresión de los cuerpos que lo componen i los puntos en que se hallan distribuidos hoy día de la fecha","Gómez Solar, Egidio","León, Juan De",1881/04/11,Chile;Novena Región;Angol,1,,
4,392,Others,Caciques de la costa,,,[Siglo XIX],,1,,
4,393,Letters,Carta en la cual Bernabé Chacón renuncia a su puesto de Capitán Cívico del Regimiento Lautaro,"Chacón, Bernabé",,[Siglo XIX],,1,,
4,394,Others,"Relación de los caciques que deben comparecer el domingo 2 del entrante en Collico, por invitación de los caciques Epúleo Ñancucheo","Fernández, Antonio José",,1862/10/24,Chile;Octava Región;Negrete,1,,
4,395,Report,Informe al Ministro de Guerra sobre una expedición hecha al interior del territorio araucano con motivo de un levantamiento de los indios,,,[Siglo XIX],,21,,Arauco
4,396,Others,"Relación de cuarenta y ocho (48) legajos de correspondencia privada y oficial del Ex-General Saavedra, referente a la pacificación de la Araucanía",Capitán Gacitúa,,1905/12/12,Chile;Región Metropolitana;Santiago,2,"Saavedra, Cornelio",
4,397,Report,Informe sobre el estudio de la línea de fuertes que Argentina ha establecido a orillas del Río Negro y en los boquetes de la Cordillera de Los Andes,,,1884/11/14,Chile;Novena Región;Angol,6,,"Argentina, Río Negro, Cordillera de Los Andes"
4A,398,Map,Mapa de 31x44 cms.de la zona de Arauco,,,[Siglo XIX],,1,,Arauco
4A,399,Map,"Mapa de 60x89 cms. de la Región de Arauco, mostrando detalles desde hidrográficos desde Concepción hasta Villarrica",,,[Siglo XIX],,1,,Arauco
4,887,Archives (series),Serie de documentos que dan cuenta de los servicios que prestó Juan Bautista Rosales durante la Pacificación de la Araucanía,,,1862-1909,,46,,
4,888,Archives (series),Serie de documentos oficiales firmados por Belisario Prats referentes a las campañas en la Araucanía,,,1877,,54,,
61,1643,Book,Libro copiador de correspondencia del general Gregorio Urrutia Venegas,"Urrutia Venegas, Gregorio",,1866/05/04,Chile;Octava Región;Lota,600,,
62,1677,Letters,Carta del 27 de agosto de 1877 de Cornelio Saavedra a Gregorio Urrutia,"Saavedra, Cornelio",,1877/08/27,Chile;Región Metropolitana;Santiago,1,"Urrutia Venegas, Gregorio",
